referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
175017,175017,"September 15, 2025",7366.92,,,,4
175018,175018,"October 17, 2025",9.17,,,,8
175019,175019,"September 16, 2025",6,,,,25
175021,175021,"September 15, 2025",957.36,,,,3
175023,175023,"September 16, 2025",2,,,,1
175024,175024,"September 16, 2025",3,,,,5
175027,175027,"September 16, 2025",10,,,,1
175028,175028,"September 16, 2025",23583,,,,3
175029,175029,"September 16, 2025",28488,,,,0
175030,175030,"October 1, 2025",28488,,,,0
175033,175033,"August 24, 2025",1322,,,,1
175034,175034,"September 17, 2025",444.27,,,,4
175035,175035,"September 16, 2025",2.33,,,,11
175036,175036,"September 17, 2025",1311.12,,,,3
175037,175037,"September 17, 2025",3,,,,4
175038,175038,"September 16, 2025",766.68,,,,3
175039,175039,"September 18, 2025",50.01,,,,1
175040,175040,"September 30, 2025",1,,,,5
175041,175041,"September 16, 2025",491.64,,,,3
175042,175042,"September 16, 2025",679.8,,,,2
175043,175043,"September 16, 2025",276,,,,4
175044,175044,"September 15, 2025",28992,,,,1
175045,175045,"September 16, 2025",696,,,,2
175046,175046,"October 07, 2025",1600.8,,,,2
175047,175047,"September 16, 2025",5,,,,10
175048,175048,"September 18, 2025",3,,,,4
175051,175051,"September 16, 2025",5,,,,5
175052,175052,"September 16, 2025",6,,,,8
175053,175053,"September 16, 2025",6,,,,0
175054,175054,"September 18, 2025",2,,,,4
175055,175055,"September 16, 2025",6,,,,4
175056,175056,"September 16, 2025",3.17,,,,9
175058,175058,"September 17, 2025",703.2,,,,2
175059,175059,"September 17, 2025",457.56,,,,1
175061,175061,"September 16, 2025",24170,,,,1
175063,175063,"September 17, 2025",15,,,,6
175064,175064,"September 16, 2025",4,,,,8
175066,175066,"September 16, 2025",6,,,,0
175069,175069,"September 16, 2025",336,,,,3
175070,175070,"September 16, 2025",5,,,,0
175071,175071,"September 16, 2025",4,,,,0
175072,175072,"September 16, 2025",408,,,,3
175073,175073,"September 16, 2025",5.33,,,,8
175074,175074,"September 16, 2025",1,,,,3
175075,175075,"September 23, 2025",2,,,,3
175076,175076,"September 16, 2025",293.76,,,,3
175077,175077,"September 16, 2025",363.22,,,,6
175078,175078,"September 16, 2025",4,,,,9
175079,175079,"September 16, 2025",337.2,,,,4
175080,175080,"September 16, 2025",267.84,,,,3
175081,175081,"September 16, 2025",5,,,,0
175082,175082,"September 16, 2025",135.96,,,,5
175083,175083,"September 16, 2025",2,,,,4
175088,175088,"September 17, 2025",616.08,,,,5
175089,175089,"September 17, 2025",6,,,,4
175094,175094,"September 18, 2025",4,,,,4
175095,175095,"September 17, 2025",663.6,,,,3
175097,175097,"September 16, 2025",6,,,,12
175098,175098,"September 16, 2025",3,,,,6
175100,175100,"September 18, 2025",296.04,,,,2
175101,175101,"September 18, 2025",617.82,,,,5
175102,175102,"September 16, 2025",6,,,,8
175103,175103,"September 17, 2025",143.88,,,,1
175104,175104,"October 2, 2025",41.5,,,,55
175105,175105,"September 16, 2025",231.84,,,,1
175106,175106,"September 16, 2025",0.67,,,,8
175107,175107,"September 17, 2025",2091.12,,,,5
175108,175108,"September 19, 2025",667.79,,,,11
175109,175109,"September 16, 2025",2,,,,0
175111,175111,"September 16, 2025",905.91,,,,10
175112,175112,"September 18, 2025",1360.18,,,,13
175115,175115,"September 18, 2025",456,,,,5
175116,175116,"September 18, 2025",160.08,,,,2
175117,175117,"September 19, 2025",311.88,,,,1
175119,175119,"September 17, 2025",4,,,,0
175120,175120,"September 17, 2025",10,,,,4
175121,175121,"September 17, 2025",393.72,,,,4
175123,175123,"September 17, 2025",3,,,,0
175124,175124,"September 15, 2025",2891,,,,0
175125,175125,"September 18, 2025",871.74,,,,2
175126,175126,"September 18, 2025",838.32,,,,8
175128,175128,"September 17, 2025",200.04,,,,3
175129,175129,"September 18, 2025",299.88,,,,1
175131,175131,"September 18, 2025",219.9,,,,2
175134,175134,"September 15, 2025",0.17,,,,2
175135,175135,"September 25, 2025",6,,,,0
175137,175137,"October 1, 2025",14.17,,,,11
175138,175138,"September 17, 2025",2,,,,2
175139,175139,"October 15, 2025",5.5,,,,12
175140,175140,"October 22, 2025",5.5,,,,10
175141,175141,"October 29, 2025",4,,,,8
175142,175142,"November 5, 2025",9,,,,15
175143,175143,"September 17, 2025",1080,,,,2
175144,175144,"September 17, 2025",26134,,,,0
175145,175145,"September 18, 2025",229.12,,,,1
175146,175146,"September 29, 2025",1.67,,,,9
175149,175149,"September 16, 2025",320,,,,0
175150,175150,"September 17, 2025",21811,,,,1
