referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
177590,177590,"October 16, 2025",2347,,,,0
177591,177591,"October 16, 2025",1,,,,0
177592,177592,"October 16, 2025",2347,,,,0
177593,177593,"October 16, 2025",2347,,,,0
177594,177594,"October 16, 2025",2347,,,,0
177595,177595,"October 16, 2025",2347,,,,0
177596,177596,"October 16, 2025",2347,,,,0
177597,177597,"October 16, 2025",2347,,,,0
177598,177598,"October 16, 2025",2891,,,,1
177599,177599,"October 16, 2025",2891,,,,1
177600,177600,"October 16, 2025",1338,,,,0
177601,177601,"October 16, 2025",1338,,,,0
177602,177602,"October 16, 2025",1338,,,,1
177603,177603,"October 16, 2025",0.92,,,,4
177604,177604,"October 17, 2025",225.48,,,,2
177606,177606,"October 21, 2025",447.84,,,,1
177607,177607,"October 20, 2025",4.5,,,,7
177608,177608,"October 16, 2025",1,,,,1
177609,177609,"October 17, 2025",1867.92,,,,2
177610,177610,"October 17, 2025",7.5,,,,9
177611,177611,"October 17, 2025",4,,,,6
177613,177613,"October 16, 2025",7453,,,,9
177614,177614,"October 16, 2025",0.25,,,,3
177615,177615,"October 21, 2025",3926.57,,,,5
177616,177616,"October 17, 2025",1,,,,1
177617,177617,"October 17, 2025",9.75,,,,14
177618,177618,"October 17, 2025",3,,,,1
177619,177619,"October 23, 2025",509.4,,,,2
177620,177620,"October 17, 2025",1813.38,,,,6
177621,177621,"October 16, 2025",0.83,,,,1
177624,177624,"October 17, 2025",3,,,,2
177626,177626,"October 21, 2025",333.95,,,,4
177627,177627,"October 22, 2025",2.5,,,,5
177628,177628,"October 16, 2025",3369,,,,0
177629,177629,"October 16, 2025",3369,,,,0
177630,177630,"October 16, 2025",3369,,,,0
177632,177632,"October 17, 2025",351.84,,,,3
177633,177633,"October 31, 2025",1103.76,,,,2
177635,177635,"October 17, 2025",7,,,,6
177636,177636,"October 20, 2025",3,,,,4
177638,177638,"October 17, 2025",216,,,,2
177639,177639,"October 17, 2025",307.74,,,,1
177640,177640,"October 17, 2025",384,,,,1
177641,177641,"October 17, 2025",263.88,,,,2
177642,177642,"October 17, 2025",0.92,,,,5
177643,177643,"October 17, 2025",353.94,,,,1
177644,177644,"October 17, 2025",1765.62,,,,8
177645,177645,"October 16, 2025",3,,,,1
177646,177646,"October 17, 2025",20,,,,10
177647,177647,"October 23, 2025",584.04,,,,2
177649,177649,"October 17, 2025",2.75,,,,7
177651,177651,"October 17, 2025",3,,,,1
177653,177653,"October 17, 2025",28.98,,,,20
177654,177654,"October 17, 2025",3,,,,6
177655,177655,"October 17, 2025",5,,,,1
177656,177656,"October 17, 2025",24,,,,3
177658,177658,"October 17, 2025",3.75,,,,3
177659,177659,"October 17, 2025",2.92,,,,31
177660,177660,"October 17, 2025",6,,,,5
177661,177661,"October 17, 2025",3,,,,1
177663,177663,"October 17, 2025",1175.88,,,,5
177664,177664,"October 17, 2025",8,,,,12
177665,177665,"October 17, 2025",2,,,,2
177666,177666,"October 17, 2025",1079.64,,,,2
177668,177668,"October 17, 2025",5,,,,8
177670,177670,"October 17, 2025",2,,,,3
177671,177671,"October 30, 2025",1558.8,,,,2
177674,177674,"October 27, 2025",4.75,,,,4
177677,177677,"October 16, 2025",4,,,,4
177678,177678,"October 17, 2025",385.68,,,,4
177679,177679,"October 16, 2025",3,,,,1
177681,177681,"October 17, 2025",487.92,,,,2
177682,177682,"October 17, 2025",1021.38,,,,5
177683,177683,"October 17, 2025",4,,,,4
177684,177684,"October 17, 2025",373.89,,,,3
177685,177685,"October 17, 2025",1.08,,,,6
177686,177686,"October 17, 2025",339.96,,,,4
177688,177688,"October 17, 2025",628.86,,,,6
177689,177689,"October 17, 2025",3,,,,1
177691,177691,"October 20, 2025",2,,,,2
177692,177692,"October 16, 2025",3,,,,0
177693,177693,"October 20, 2025",2,,,,0
177696,177696,"October 20, 2025",1.33,,,,6
177697,177697,"October 17, 2025",495.84,,,,2
