referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
174483,174483,"September 18, 2025",1858.44,,,,3
174484,174484,"September 8, 2025",29857,,,,0
174485,174485,"September 8, 2025",11.42,,,,16
174486,174486,"September 11, 2025",1354.71,,,,5
174487,174487,"September 11, 2025",7,,,,6
174488,174488,"October 31, 2025",0.25,,,,0
174489,174489,"September 9, 2025",5.75,,,,4
174490,174490,"September 24, 2025",29913,,,,0
174491,174491,"September 5, 2025",7.25,,,,9
174492,174492,"September 5, 2025",6.25,,,,7
174493,174493,"September 6, 2025",0.08,,,,2
174494,174494,"September 6, 2025",0.17,,,,1
174495,174495,"September 6, 2025",2891,,,,0
174496,174496,"September 6, 2025",23570,,,,0
174497,174497,"September 10, 2025",28488,,,,0
174499,174499,"September 6, 2025",23367,,,,13
174500,174500,"September 9, 2025",4.25,,,,10
174501,174501,"September 17, 2025",14.5,,,,18
174502,174502,"September 15, 2025",5.17,,,,4
174503,174503,"September 7, 2025",21811,,,,1
174504,174504,"September 7, 2025",104.01,,,,1
174505,174505,"September 7, 2025",52,,,,1
174506,174506,"September 7, 2025",104.01,,,,1
174507,174507,"September 7, 2025",104.01,,,,1
174509,174509,"September 7, 2025",16172.4,,,,7
174510,174510,"September 9, 2025",3,,,,4
174511,174511,"September 08, 2025",1000.32,,,,5
174512,174512,"September 8, 2025",28289,,,,2
174513,174513,"September 8, 2025",3,,,,2
174514,174514,"September 9, 2025",28,,,,8
174515,174515,"September 9, 2025",5,,,,6
174516,174516,"September 8, 2025",21811,,,,1
174517,174517,"September 09, 2025",948,,,,5
174518,174518,"September 09, 2025",346.62,,,,2
174519,174519,"September 09, 2025",2810.56,,,,9
174520,174520,"September 11, 2025",899.88,,,,7
174523,174523,"September 09, 2025",335.7,,,,2
174524,174524,"September 9, 2025",3.08,,,,18
174525,174525,"September 9, 2025",0.75,,,,9
174527,174527,"September 9, 2025",5,,,,1
174529,174529,"September 12, 2025",6,,,,0
174530,174530,"September 09, 2025",426.78,,,,2
174531,174531,"September 09, 2025",390.36,,,,2
174532,174532,"September 11, 2025",421.02,,,,2
174533,174533,"September 09, 2025",279.96,,,,1
174534,174534,"September 10, 2025",239.76,,,,3
174535,174535,"September 10, 2025",785.52,,,,2
174536,174536,"September 9, 2025",9,,,,11
174538,174538,"September 8, 2025",3369,,,,0
174539,174539,"September 10, 2025",1560,,,,1
174540,174540,"September 9, 2025",21811,,,,1
174541,174541,"September 10, 2025",366,,,,3
174542,174542,"September 10, 2025",513.96,,,,3
174543,174543,"September 9, 2025",10614,,,,0
174544,174544,"September 09, 2025",1148.01,,,,3
174547,174547,"September 9, 2025",6,,,,1
174549,174549,"September 10, 2025",693,,,,1
174551,174551,"September 9, 2025",27103,,,,0
174552,174552,"September 12, 2025",29800,,,,0
174553,174553,"September 09, 2025",453.84,,,,3
174555,174555,"September 9, 2025",28488,,,,0
174557,174557,"September 9, 2025",23572,,,,0
174559,174559,"September 9, 2025",3,,,,6
174560,174560,"September 10, 2025",275.76,,,,2
174562,174562,"September 9, 2025",28003,,,,0
174563,174563,"September 9, 2025",6,,,,6
174564,174564,"September 10, 2025",9,,,,8
174565,174565,"September 10, 2025",1093.74,,,,5
174567,174567,"September 09, 2025",305.64,,,,1
174568,174568,"September 09, 2025",268.56,,,,2
174569,174569,"September 09, 2025",375.96,,,,3
174571,174571,"September 10, 2025",268.56,,,,2
174572,174572,"September 10, 2025",1566.6,,,,5
