referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
176821,176821,"October 8, 2025",5,,,,1
176822,176822,"October 7, 2025",1198.78,,,,1
176823,176823,"October 10, 2025",0.42,,,,6
176824,176824,"October 7, 2025",29022,,,,1
176825,176825,"October 8, 2025",21811,,,,1
176826,176826,"October 08, 2025",269.64,,,,1
176827,176827,"October 8, 2025",2,,,,0
176830,176830,"October 08, 2025",370.74,,,,2
176832,176832,"October 7, 2025",2891,,,,1
176833,176833,"October 8, 2025",3,,,,2
176834,176834,"October 8, 2025",4,,,,4
176835,176835,"October 8, 2025",2,,,,4
176836,176836,"October 13, 2025",6,,,,7
176837,176837,"October 8, 2025",2,,,,4
176838,176838,"October 7, 2025",0.33,,,,1
176840,176840,"October 7, 2025",2,,,,1
176841,176841,"October 7, 2025",0.67,,,,5
176842,176842,"October 7, 2025",0.5,,,,0
176843,176843,"October 7, 2025",0.5,,,,0
176844,176844,"October 7, 2025",6,,,,4
176845,176845,"October 7, 2025",1,,,,1
176847,400494,"October 10, 2025",1214.73,,,,16
176848,176848,"October 8, 2025",3,,,,0
176849,176849,"October 9, 2025",7,,,,0
176851,176851,"October 8, 2025",5,,,,0
176853,176853,"October 8, 2025",6,,,,4
176856,176856,"October 8, 2025",5,,,,9
176857,176857,"October 10, 2025",3,,,,1
176858,176858,"October 10, 2025",2,,,,1
176859,176859,"October 16, 2025",5,,,,5
176862,176862,"October 10, 2025",730.26,,,,16
176864,176864,"October 08, 2025",432,,,,1
176866,176866,"October 08, 2025",543.84,,,,2
176876,176876,"October 8, 2025",13,,,,4
176877,176877,"October 9, 2025",28667,,,,0
176881,176881,"October 8, 2025",3,,,,1
176882,176882,"October 09, 2025",1320,,,,1
176883,176883,"October 8, 2025",3,,,,1
176884,176884,"October 13, 2025",1.67,,,,4
176885,176885,"October 8, 2025",3,,,,1
176886,176886,"October 09, 2025",219.9,,,,2
176887,176887,"October 8, 2025",3.5,,,,16
176888,176888,"October 8, 2025",2,,,,1
176889,176889,"October 14, 2025",4,,,,8
176891,176891,"October 8, 2025",11.08,,,,7
176892,176892,"October 08, 2025",331.86,,,,2
176893,176893,"October 17, 2025",1,,,,1
176894,176894,"October 8, 2025",3,,,,1
176895,176895,"October 9, 2025",5.92,,,,6
176896,176896,"October 7, 2025",5,,,,6
176897,176897,"October 16, 2025",1320,,,,1
176898,176898,"October 09, 2025",519.96,,,,2
176899,176899,"October 8, 2025",3,,,,4
176900,176900,"October 09, 2025",684.64,,,,3
176901,176901,"October 8, 2025",4,,,,4
176902,176902,"October 09, 2025",119.88,,,,1
176903,176903,"October 8, 2025",3,,,,6
176904,176904,"October 9, 2025",3,,,,0
176905,176905,"October 9, 2025",6,,,,11
176906,176906,"October 09, 2025",401.76,,,,3
176908,176908,"October 8, 2025",2,,,,0
176909,176909,"October 28, 2025",6,,,,4
176914,176914,"October 9, 2025",3,,,,3
176916,176916,"October 9, 2025",2,,,,4
176919,176919,"November 3, 2025",10,,,,2
176920,176920,"October 9, 2025",10,,,,1
176921,176921,"October 8, 2025",4,,,,2
176922,176922,"October 8, 2025",1,,,,0
176923,176923,"October 15, 2025",737.85,,,,13
176924,176924,"October 8, 2025",3369,,,,1
176927,176927,"October 9, 2025",3,,,,0
176928,176928,"October 9, 2025",2,,,,3
176929,176929,"October 09, 2025",219.93,,,,5
176930,176930,"October 8, 2025",1.17,,,,11
176931,176931,"October 8, 2025",2892.07,,,,6
176932,176932,"October 09, 2025",261.36,,,,4
176933,176933,"October 8, 2025",1,,,,1
176934,176934,"October 8, 2025",6,,,,2
176935,176935,"October 21, 2025",7,,,,10
176936,176936,"October 09, 2025",477.72,,,,3
176937,176937,"October 9, 2025",1,,,,1
176938,176938,"October 09, 2025",320.16,,,,2
176939,176939,"October 10, 2025",10,,,,0
176940,176940,"October 10, 2025",5,,,,0
176941,176941,"October 23, 2025",5,,,,0
176942,176942,"October 8, 2025",1,,,,1
176943,176943,"October 09, 2025",255.36,,,,2
176945,176945,"October 8, 2025",7738.8,,,,9
176946,176946,"October 16, 2025",2080.25,,,,4
176947,176947,"October 9, 2025",2892.07,,,,7
176948,176948,"October 9, 2025",3.5,,,,5
176949,176949,"October 09, 2025",456,,,,2
176951,176951,"October 27, 2025",3,,,,3
176953,176953,"October 09, 2025",350.65,,,,5
176954,176954,"October 13, 2025",5,,,,8
176955,176955,"October 8, 2025",4,,,,0
176956,176956,"October 10, 2025",975.68,,,,7
176957,176957,"October 23, 2025",239.94,,,,1
176958,176958,"October 8, 2025",2891,,,,0
176959,176959,"October 10, 2025",419.94,,,,2
176960,176960,"October 09, 2025",271.92,,,,2
176961,176961,"October 09, 2025",279.96,,,,1
176962,176962,"October 09, 2025",838.56,,,,6
176963,176963,"October 9, 2025",2,,,,5
176964,176964,"October 9, 2025",3,,,,6
176965,176965,"October 09, 2025",141.3,,,,6
176966,176966,"October 09, 2025",383.88,,,,1
176967,176967,"October 09, 2025",463.74,,,,3
176968,176968,"October 17, 2025",3,,,,1
176969,176969,"October 9, 2025",3.5,,,,7
176970,176970,"October 15, 2025",1,,,,5
176972,176972,"October 10, 2025",625.77,,,,4
176973,176973,"October 09, 2025",469.56,,,,3
176974,176974,"October 10, 2025",11,,,,8
176975,176975,"October 09, 2025",434.03,,,,3
176976,176976,"October 9, 2025",1.92,,,,4
176977,176977,"October 09, 2025",201.97,,,,6
176980,176980,"October 10, 2025",423.96,,,,4
176981,176981,"October 09, 2025",550.56,,,,4
176982,176982,"October 09, 2025",286.92,,,,4
176983,176983,"October 10, 2025",459.96,,,,5
176985,176985,"October 09, 2025",811.2,,,,4
176986,176986,"October 10, 2025",445.8,,,,5
176987,176987,"October 09, 2025",153.87,,,,2
176988,176988,"October 9, 2025",5,,,,6
176989,176989,"October 9, 2025",3,,,,1
176990,176990,"October 13, 2025",51.67,,,,10
176991,176991,"October 9, 2025",1.25,,,,4
176994,176994,"October 10, 2025",559.8,,,,1
176995,176995,"October 09, 2025",463.68,,,,1
176998,176998,"October 09, 2025",118.98,,,,2
176999,176999,"October 10, 2025",451.98,,,,4
177000,177000,"October 09, 2025",823.92,,,,4
177004,177004,"October 09, 2025",317.24,,,,2
177005,177005,"October 10, 2025",190.04,,,,2
177006,177006,"October 9, 2025",5,,,,4
177009,177009,"October 10, 2025",2111.76,,,,9
177010,177010,"October 8, 2025",0.5,,,,2
177011,177011,"October 9, 2025",3,,,,1
177012,177012,"October 09, 2025",647.64,,,,2
177015,177015,"October 29, 2025",855.72,,,,8
177017,177017,"October 09, 2025",475.8,,,,2
177018,177018,"October 10, 2025",499.8,,,,2
177019,177019,"October 09, 2025",352.08,,,,1
177020,177020,"October 09, 2025",444.96,,,,3
177021,177021,"October 10, 2025",10,,,,6
177022,177022,"October 10, 2025",432,,,,8
177023,177023,"October 09, 2025",337.95,,,,4
177024,177024,"October 10, 2025",6,,,,5
