referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
177344,177344,"October 14, 2025",1338,,,,0
177345,177345,"October 14, 2025",1338,,,,0
177346,177346,"October 14, 2025",1338,,,,0
177347,177347,"October 14, 2025",2891,,,,1
177348,177348,"October 16, 2025",1607.28,,,,3
177349,177349,"October 16, 2025",219.9,,,,2
177350,177350,"October 23, 2025",310,,,,1
177355,177355,"October 15, 2025",7,,,,0
177356,177356,"October 16, 2025",435.84,,,,2
177357,177357,"October 15, 2025",321.72,,,,1
177358,177358,"October 15, 2025",6.17,,,,33
177359,177359,"October 15, 2025",6,,,,1
177360,177360,"October 14, 2025",3369,,,,0
177361,177361,"October 16, 2025",1909.68,,,,5
177362,177362,"October 16, 2025",6,,,,4
177363,177363,"October 17, 2025",724.66,,,,12
177364,177364,"October 16, 2025",8.5,,,,7
177365,177365,"October 15, 2025",9,,,,2
177366,177366,"October 15, 2025",4,,,,9
177367,177367,"October 17, 2025",1047.72,,,,3
177368,177368,"October 16, 2025",2,,,,4
177370,177370,"October 15, 2025",1007.64,,,,3
177371,177371,"October 15, 2025",540,,,,2
177372,177372,"October 20, 2025",3,,,,6
177373,177373,"October 16, 2025",1285.08,,,,5
177374,177374,"October 15, 2025",5,,,,0
177375,177375,"October 15, 2025",2,,,,1
177376,177376,"October 14, 2025",18,,,,1
177377,177377,"October 16, 2025",256.08,,,,2
177378,177378,"October 16, 2025",5,,,,5
177379,177379,"October 16, 2025",418.92,,,,3
177380,177380,"October 16, 2025",4,,,,8
177381,177381,"October 15, 2025",3,,,,1
177382,177382,"October 16, 2025",1139.88,,,,5
177384,177384,"October 16, 2025",91.97,,,,3
177385,177385,"October 15, 2025",4,,,,6
177386,177386,"October 15, 2025",2,,,,0
177387,177387,"October 15, 2025",5,,,,5
177388,177388,"October 15, 2025",3,,,,0
177389,177389,"October 15, 2025",628.74,,,,4
177390,177390,"October 15, 2025",4,,,,2
177392,177392,"October 15, 2025",401.76,,,,2
177393,177393,"October 15, 2025",6,,,,6
177394,177394,"October 16, 2025",400.2,,,,3
177395,177395,"October 15, 2025",5,,,,7
177396,177396,"October 16, 2025",1.25,,,,4
177397,177397,"October 15, 2025",10,,,,1
177398,177398,"October 15, 2025",4,,,,5
177400,177400,"October 15, 2025",4,,,,4
177401,177401,"October 17, 2025",581.76,,,,2
177402,177402,"October 15, 2025",5,,,,5
177404,177404,"October 14, 2025",23911,,,,1
177405,177405,"October 14, 2025",3,,,,3
177406,177406,"October 14, 2025",2,,,,1
177407,177407,"October 15, 2025",2,,,,6
177408,177408,"October 15, 2025",4.5,,,,22
177409,177409,"October 15, 2025",432,,,,1
177412,177412,"October 16, 2025",160.08,,,,1
177413,177413,"October 15, 2025",447.84,,,,1
177414,177414,"October 15, 2025",295.92,,,,2
177415,177415,"October 16, 2025",183.84,,,,1
177418,177418,"November 3, 2025",5.5,,,,7
177420,177420,"October 15, 2025",3,,,,4
177422,177422,"October 15, 2025",300,,,,4
177423,177423,"October 16, 2025",5,,,,0
177424,177424,"October 16, 2025",389.73,,,,3
177425,177425,"October 16, 2025",1807.44,,,,3
177429,177429,"October 14, 2025",0.5,,,,0
177431,177431,"October 16, 2025",1,,,,1
177432,177432,"October 16, 2025",15,,,,6
177433,177433,"October 23, 2025",4.33,,,,23
177435,177435,"October 15, 2025",1481,,,,1
177436,177436,"October 15, 2025",1481,,,,0
177437,177437,"October 15, 2025",1481,,,,0
177438,177438,"October 15, 2025",1329,,,,1
177440,177440,"October 15, 2025",23911,,,,1
177442,177442,"October 17, 2025",351,,,,1
177443,177443,"October 15, 2025",20416.2,,,,10
177444,177444,"October 17, 2025",745.92,,,,2
177445,177445,"October 17, 2025",40,,,,14
177446,177446,"October 31, 2025",10,,,,0
177447,177447,"October 15, 2025",2.33,,,,2
177448,177448,"October 31, 2025",5,,,,0
177449,177449,"November 12, 2025",5,,,,0
177450,177450,"October 16, 2025",4,,,,4
177451,177451,"October 15, 2025",1,,,,1
177452,177452,"October 15, 2025",1,,,,36
177453,177453,"October 24, 2025",12,,,,10
177454,177454,"October 16, 2025",275.76,,,,2
177456,177456,"October 15, 2025",4541,,,,8
177457,177457,"October 16, 2025",469.56,,,,3
177458,177458,"October 17, 2025",279.84,,,,5
177459,177459,"October 16, 2025",3,,,,6
177461,177461,"October 17, 2025",401.76,,,,2
177462,177462,"October 15, 2025",3,,,,1
177463,177463,"October 16, 2025",3,,,,4
177464,177464,"October 16, 2025",4,,,,4
177465,177465,"October 17, 2025",170.54,,,,2
177467,177467,"October 16, 2025",221.76,,,,2
177468,177468,"October 16, 2025",504.8,,,,3
177469,177469,"October 17, 2025",719.64,,,,2
177470,177470,"October 16, 2025",239.76,,,,3
177471,177471,"October 16, 2025",601.17,,,,5
177472,177472,"October 16, 2025",2,,,,0
177473,177473,"October 17, 2025",485.88,,,,2
177474,177474,"October 15, 2025",1.33,,,,4
177475,177475,"October 15, 2025",6,,,,1
177476,177476,"October 16, 2025",3,,,,1
177477,177477,"October 16, 2025",3,,,,3
177478,177478,"October 16, 2025",3.92,,,,21
177479,177479,"October 17, 2025",69.5,,,,24
177480,177480,"October 16, 2025",1,,,,13
177481,177481,"October 16, 2025",375.96,,,,4
177482,177482,"October 16, 2025",3,,,,3
177485,177485,"October 16, 2025",7,,,,7
177486,177486,"October 17, 2025",682.8,,,,6
177487,177487,"October 16, 2025",3,,,,1
177488,177488,"October 24, 2025",480,,,,1
177489,177489,"October 22, 2025",871.92,,,,3
177490,177490,"October 17, 2025",360,,,,1
177491,177491,"October 16, 2025",305.64,,,,1
177492,177492,"October 16, 2025",471.84,,,,1
177494,177494,"October 16, 2025",639.66,,,,4
177495,177495,"October 16, 2025",4,,,,0
177497,177497,"October 17, 2025",975.36,,,,3
177499,177499,"October 16, 2025",3,,,,6
177500,177500,"October 16, 2025",719.4,,,,1
177501,177501,"October 16, 2025",359.96,,,,2
177502,177502,"October 16, 2025",6,,,,3
177503,177503,"October 16, 2025",8,,,,10
177504,177504,"October 16, 2025",669.87,,,,4
177505,177505,"October 16, 2025",419.88,,,,3
177506,177506,"October 22, 2025",479.76,,,,2
177507,177507,"November 05, 2025",609.6,,,,4
177508,177508,"October 16, 2025",1583.24,,,,4
177509,177509,"October 16, 2025",2.33,,,,3
177510,177510,"October 16, 2025",617.63,,,,4
177511,177511,"October 15, 2025",3,,,,2
177514,177514,"October 16, 2025",3,,,,0
177516,177516,"October 16, 2025",334,,,,3
177517,177517,"October 30, 2025",1014,,,,2
177519,177519,"October 20, 2025",3,,,,1
177522,177522,"October 16, 2025",6,,,,3
177523,177523,"October 16, 2025",722.46,,,,6
177524,177524,"October 16, 2025",3,,,,4
177525,177525,"October 16, 2025",540,,,,2
177526,177526,"October 16, 2025",471.96,,,,4
177527,177527,"October 16, 2025",279.96,,,,1
177528,177528,"October 17, 2025",943.92,,,,12
177529,177529,"October 16, 2025",399.72,,,,3
177530,177530,"October 16, 2025",514.02,,,,3
177531,177531,"October 17, 2025",2,,,,3
177532,177532,"October 17, 2025",303.84,,,,1
177533,177533,"October 17, 2025",10,,,,3
177534,177534,"October 17, 2025",25351,,,,2
177535,177535,"October 15, 2025",25351,,,,2
177538,177538,"October 16, 2025",363.78,,,,4
177539,177539,"October 17, 2025",3,,,,5
177540,177540,"October 17, 2025",5,,,,1
177541,177541,"October 17, 2025",2836.56,,,,24
177543,177543,"October 15, 2025",1.33,,,,2
177544,177544,"October 15, 2025",1.67,,,,7
177545,177545,"October 15, 2025",0.5,,,,4
177548,177548,"October 21, 2025",3.5,,,,6
177549,177549,"October 17, 2025",400.08,,,,1
177551,177551,"October 16, 2025",1,,,,0
177552,177552,"October 16, 2025",3021.53,,,,8
177555,177555,"October 24, 2025",5,,,,1
177556,177556,"October 20, 2025",5,,,,1
177557,177557,"October 16, 2025",1338,,,,0
177558,177558,"October 16, 2025",1338,,,,0
177559,177559,"October 16, 2025",1338,,,,0
177560,177560,"October 16, 2025",1338,,,,0
177561,177561,"October 16, 2025",1338,,,,0
177562,177562,"October 16, 2025",1338,,,,0
177563,177563,"October 16, 2025",1338,,,,0
177564,177564,"October 16, 2025",1338,,,,0
177565,177565,"October 23, 2025",36,,,,12
177567,177567,"October 16, 2025",1476,,,,0
177568,177568,"October 16, 2025",1338,,,,0
177570,177570,"October 16, 2025",7.83,,,,16
177571,177571,"October 16, 2025",2347,,,,0
177572,177572,"October 16, 2025",2347,,,,0
177573,177573,"October 16, 2025",2347,,,,0
177574,177574,"October 16, 2025",2347,,,,0
177575,177575,"October 16, 2025",2347,,,,0
177576,177576,"October 16, 2025",2347,,,,0
177577,177577,"October 16, 2025",2347,,,,0
177578,177578,"October 16, 2025",2347,,,,0
177579,177579,"October 16, 2025",2347,,,,0
177580,177580,"October 16, 2025",2347,,,,0
177581,177581,"October 16, 2025",2347,,,,0
177582,177582,"October 16, 2025",2347,,,,0
177583,177583,"October 16, 2025",2347,,,,0
177584,177584,"October 16, 2025",2347,,,,0
177585,177585,"October 16, 2025",2347,,,,0
177586,177586,"October 16, 2025",2347,,,,0
177587,177587,"October 16, 2025",2347,,,,0
177588,177588,"October 16, 2025",2347,,,,0
177589,177589,"October 16, 2025",2347,,,,0
