referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
175280,175280,"September 18, 2025",769.92,,,,1
175281,175281,"September 18, 2025",601.8,,,,5
175282,175282,"September 18, 2025",832.62,,,,5
175284,175284,"September 19, 2025",367.92,,,,3
175285,175285,"September 19, 2025",3,,,,5
175287,175287,"October 22, 2025",16,,,,1
175288,175288,"September 19, 2025",207.84,,,,2
175289,175289,"September 19, 2025",1675.38,,,,8
175290,175290,"September 19, 2025",599.76,,,,1
175291,175291,"September 18, 2025",367.8,,,,2
175292,175292,"September 18, 2025",1245.9,,,,7
175293,175293,"September 19, 2025",239.76,,,,1
175294,175294,"September 18, 2025",699.72,,,,5
175295,175295,"September 18, 2025",4,,,,4
175298,175298,"September 19, 2025",347.97,,,,2
175300,175300,"September 19, 2025",793.17,,,,2
175301,175301,"September 18, 2025",4,,,,4
175302,175302,"September 24, 2025",15,,,,0
175303,175303,"September 18, 2025",5,,,,1
175304,175304,"September 18, 2025",1070.97,,,,5
175306,175306,"October 23, 2025",533.44,,,,2
175307,175307,"October 21, 2025",4,,,,8
175308,175308,"September 18, 2025",24119,,,,0
175309,175309,"September 19, 2025",306.52,,,,3
175310,175310,"September 18, 2025",6,,,,4
175311,175311,"September 18, 2025",419.88,,,,3
175312,175312,"September 22, 2025",111.75,,,,40
175313,175313,"September 19, 2025",231.84,,,,1
175314,175314,"September 19, 2025",385.2,,,,3
175315,175315,"September 18, 2025",442.62,,,,8
175317,175317,"September 18, 2025",549.65,,,,5
175318,175318,"September 19, 2025",299.28,,,,1
175319,175319,"September 18, 2025",4,,,,2
175320,175320,"September 18, 2025",9.42,,,,11
175321,175321,"September 23, 2025",6,,,,3
175322,175322,"September 18, 2025",5,,,,11
175323,175323,"September 18, 2025",270.96,,,,2
175324,175324,"September 24, 2025",1,,,,0
175325,175325,"September 18, 2025",392.04,,,,3
175327,175327,"September 18, 2025",1,,,,12
175328,175328,"September 26, 2025",22,,,,1
175332,175332,"September 18, 2025",475.98,,,,1
175334,175334,"September 18, 2025",4,,,,6
175335,175335,"September 18, 2025",6,,,,5
175336,175336,"September 18, 2025",5.25,,,,42
175337,175337,"September 18, 2025",1.75,,,,5
175338,175338,"September 19, 2025",6,,,,8
175339,175339,"September 22, 2025",4,,,,8
175340,175340,"September 25, 2025",6,,,,3
175341,175341,"September 18, 2025",317.24,,,,6
175342,175342,"September 18, 2025",569.52,,,,3
175343,175343,"September 19, 2025",342.75,,,,4
175344,175344,"September 19, 2025",4,,,,5
175346,175346,"September 19, 2025",239.94,,,,2
175348,175348,"September 19, 2025",1,,,,13
175349,175349,"September 19, 2025",4,,,,2
175350,175350,"September 19, 2025",3,,,,1
175351,175351,"September 18, 2025",202.67,,,,3
175353,175353,"September 19, 2025",5,,,,7
175354,175354,"September 19, 2025",6,,,,0
175355,175355,"September 18, 2025",1,,,,0
175356,175356,"September 18, 2025",67068,,,,4
175357,175357,"September 23, 2025",43.92,,,,12
175358,175358,"September 19, 2025",6,,,,1
175359,175359,"September 19, 2025",1,,,,8
175360,175360,"September 22, 2025",6,,,,1
175361,175361,"September 19, 2025",3,,,,5
175362,175362,"September 18, 2025",28289,,,,1
175363,175363,"September 19, 2025",564,,,,2
175364,175364,"September 18, 2025",1329,,,,2
175365,175365,"September 18, 2025",1329,,,,2
175366,175366,"September 22, 2025",9,,,,14
175368,175368,"September 19, 2025",9.67,,,,4
175371,175371,"November 1, 2025",6,,,,0
175373,175373,"September 19, 2025",5,,,,1
175374,175374,"September 19, 2025",6,,,,5
175375,175375,"September 19, 2025",1815.48,,,,8
175376,175376,"September 22, 2025",4,,,,10
175377,175377,"September 19, 2025",5,,,,3
175378,175378,"September 19, 2025",3,,,,6
175380,175380,"September 18, 2025",1322,,,,1
175381,175381,"September 19, 2025",60,,,,1
175382,175382,"September 18, 2025",25055,,,,0
175383,175383,"September 23, 2025",111.96,,,,3
175384,175384,"September 19, 2025",25355,,,,0
175385,175385,"September 19, 2025",2,,,,0
175386,175386,"September 19, 2025",3,,,,6
175388,175388,"September 19, 2025",2,,,,4
175389,175389,"September 19, 2025",4,,,,1
175390,400494,"September 19, 2025",803.41,,,,8
175391,175391,"September 23, 2025",3.17,,,,5
175392,175392,"September 19, 2025",12,,,,9
175393,175393,"September 23, 2025",1.25,,,,4
175394,175394,"September 19, 2025",1,,,,11
175395,175395,"September 19, 2025",966.68,,,,7
175396,175396,"September 19, 2025",423.26,,,,5
175397,175397,"September 19, 2025",0.83,,,,7
175398,175398,"September 18, 2025",368.29,,,,4
175399,175399,"September 19, 2025",28003,,,,0
175400,175400,"September 24, 2025",4.5,,,,7
175401,175401,"September 19, 2025",4,,,,6
175402,175402,"September 19, 2025",7.08,,,,8
175403,175403,"September 19, 2025",2,,,,5
175404,175404,"September 19, 2025",24,,,,9
175405,175405,"September 19, 2025",2,,,,3
175407,175407,"September 19, 2025",3.17,,,,7
175411,175411,"September 19, 2025",6,,,,4
175412,175412,"September 19, 2025",3,,,,6
175413,175413,"September 19, 2025",25355,,,,0
175414,175414,"October 31, 2025",4,,,,6
175415,175415,"September 19, 2025",4,,,,0
175416,175416,"September 19, 2025",5,,,,1
175417,175417,"September 25, 2025",1435.5,,,,11
175418,175418,"September 19, 2025",463.56,,,,2
175419,175419,"September 19, 2025",249.81,,,,12
175420,175420,"September 19, 2025",3,,,,0
175422,175422,"September 19, 2025",359.64,,,,2
175423,175423,"September 19, 2025",640.2,,,,2
175424,175424,"September 19, 2025",279.84,,,,2
175425,175425,"September 19, 2025",2735.13,,,,17
175426,175426,"September 19, 2025",3,,,,4
175428,175428,"September 19, 2025",496.08,,,,2
175429,175429,"September 19, 2025",405,,,,5
175430,175430,"September 19, 2025",447.96,,,,10
175431,175431,"September 19, 2025",399.84,,,,2
175433,175433,"September 19, 2025",29931,,,,0
175434,175434,"September 25, 2025",1353.72,,,,7
175435,175435,"September 23, 2025",569.94,,,,1
175436,175436,"September 19, 2025",465.69,,,,4
175437,175437,"September 18, 2025",6,,,,0
175438,175438,"September 30, 2025",4,,,,1
175439,175439,"September 19, 2025",10,,,,9
175440,175440,"September 19, 2025",424.87,,,,6
175441,175441,"September 25, 2025",479.94,,,,4
175442,175442,"September 19, 2025",377.64,,,,2
175443,175443,"September 19, 2025",4.5,,,,8
175444,175444,"September 19, 2025",111.84,,,,1
175445,175445,"September 19, 2025",268.56,,,,1
