referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
176310,176310,"October 01, 2025",509.4,,,,1
176311,176311,"October 3, 2025",15,,,,1
176312,176312,"October 3, 2025",28436,,,,0
176313,176313,"October 21, 2025",28436,,,,0
176314,176314,"October 31, 2025",28436,,,,0
176315,176315,"October 21, 2025",4,,,,1
176316,176316,"October 01, 2025",392.34,,,,4
176318,176318,"October 2, 2025",29197,,,,0
176319,176319,"October 1, 2025",8,,,,9
176320,176320,"October 1, 2025",4,,,,4
176321,176321,"October 1, 2025",4,,,,5
176323,176323,"October 1, 2025",4,,,,3
176324,176324,"October 01, 2025",330,,,,3
176326,176326,"October 7, 2025",5,,,,4
176327,176327,"October 22, 2025",4,,,,1
176328,176328,"October 1, 2025",2,,,,0
176331,176331,"October 1, 2025",0.5,,,,1
176333,176333,"October 08, 2025",221.36,,,,3
176334,176334,"October 03, 2025",551.82,,,,4
176335,176335,"October 01, 2025",183.96,,,,1
176341,176341,"October 03, 2025",1218,,,,5
176344,176344,"October 2, 2025",5,,,,0
176345,176345,"October 2, 2025",5,,,,0
176346,176346,"October 2, 2025",29058,,,,0
176347,176347,"October 2, 2025",6,,,,5
176348,176348,"October 29, 2025",2055.12,,,,1
176349,176349,"October 02, 2025",443.76,,,,4
176350,176350,"October 02, 2025",313.8,,,,2
176351,176351,"October 02, 2025",871.68,,,,1
176353,176353,"October 02, 2025",299.88,,,,1
176354,176354,"October 02, 2025",367.8,,,,2
176355,176355,"October 02, 2025",439.92,,,,2
176356,176356,"October 1, 2025",23911,,,,1
176357,176357,"October 1, 2025",15469,,,,1
176358,176358,"October 1, 2025",3138,,,,0
176359,176359,"October 1, 2025",3138,,,,0
176360,176360,"October 1, 2025",2891,,,,1
176361,176361,"October 1, 2025",1,,,,0
176362,176362,"October 1, 2025",2891,,,,1
176363,176363,"October 1, 2025",2891,,,,1
176365,176365,"October 1, 2025",2891,,,,1
176366,176366,"October 2, 2025",4006.82,,,,8
176367,176367,"October 8, 2025",6,,,,12
176368,176368,"October 02, 2025",403.74,,,,2
176369,176369,"October 3, 2025",6,,,,6
176370,176370,"October 3, 2025",6,,,,6
176371,176371,"October 03, 2025",580.8,,,,5
176372,176372,"October 02, 2025",401.01,,,,2
176373,176373,"October 3, 2025",0.58,,,,6
176374,176374,"October 1, 2025",2891,,,,1
176376,176376,"October 1, 2025",2891,,,,1
176379,176379,"October 2, 2025",1,,,,2
176381,176381,"October 1, 2025",1,,,,0
176382,176382,"October 1, 2025",2891,,,,0
176386,176386,"October 1, 2025",2891,,,,1
176387,176387,"October 1, 2025",2891,,,,1
176388,176388,"October 02, 2025",395.88,,,,1
176390,176390,"October 1, 2025",2891,,,,1
176391,176391,"October 1, 2025",2891,,,,1
176393,176393,"October 1, 2025",2891,,,,1
176394,176394,"October 1, 2025",2891,,,,0
176395,176395,"October 1, 2025",2891,,,,1
176396,176396,"October 1, 2025",2891,,,,1
176399,176399,"October 1, 2025",1706,,,,3
176400,176400,"October 03, 2025",471.96,,,,2
176404,176404,"October 2, 2025",2,,,,4
176405,176405,"October 2, 2025",4,,,,4
176406,176406,"October 2, 2025",4,,,,4
176407,176407,"October 1, 2025",2891,,,,1
176408,176408,"October 1, 2025",2891,,,,1
176410,176410,"October 02, 2025",587.76,,,,4
176411,176411,"October 02, 2025",736.02,,,,2
176412,176412,"October 2, 2025",1,,,,5
176413,176413,"October 02, 2025",519.96,,,,3
176414,176414,"October 16, 2025",480,,,,2
176415,176415,"October 6, 2025",5,,,,1
176416,176416,"October 2, 2025",2,,,,0
176417,176417,"October 2, 2025",2,,,,2
176418,176418,"October 2, 2025",8,,,,5
176420,176420,"October 03, 2025",480,,,,1
176421,176421,"October 03, 2025",728.76,,,,4
176422,176422,"October 02, 2025",952.28,,,,5
176423,176423,"October 2, 2025",1,,,,1
176424,176424,"October 03, 2025",431.76,,,,2
176425,176425,"October 2, 2025",3,,,,7
176426,176426,"October 2, 2025",6,,,,5
176427,176427,"October 03, 2025",3445.61,,,,21
176429,176429,"October 20, 2025",0.42,,,,5
176430,176430,"October 02, 2025",540,,,,2
176431,176431,"October 03, 2025",883.49,,,,4
176432,176432,"October 15, 2025",3,,,,5
176433,176433,"October 02, 2025",231.84,,,,1
176434,176434,"October 2, 2025",8,,,,5
176436,176436,"October 02, 2025",551.76,,,,3
176437,176437,"October 02, 2025",369.84,,,,3
176438,176438,"October 03, 2025",617.76,,,,2
176439,176439,"October 02, 2025",691.14,,,,5
176440,176440,"October 2, 2025",4,,,,4
176441,176441,"October 2, 2025",2.67,,,,8
176442,176442,"October 02, 2025",455.76,,,,4
176443,176443,"October 2, 2025",1.67,,,,0
176444,176444,"October 2, 2025",7,,,,0
176445,176445,"October 2, 2025",0.42,,,,5
176446,176446,"October 2, 2025",25419,,,,0
176447,176447,"October 02, 2025",567.96,,,,2
176448,176448,"October 02, 2025",203.31,,,,2
176449,176449,"October 03, 2025",381.16,,,,4
176450,176450,"October 2, 2025",3.33,,,,5
176451,176451,"October 2, 2025",3,,,,7
176452,176452,"October 02, 2025",343.98,,,,2
176457,176457,"October 09, 2025",961.92,,,,3
176458,176458,"October 03, 2025",299.28,,,,2
176459,176459,"October 2, 2025",10,,,,9
176461,176461,"October 02, 2025",311.76,,,,2
176462,176462,"October 02, 2025",369.9,,,,2
176465,176465,"October 2, 2025",24,,,,35
176466,176466,"October 03, 2025",263.88,,,,2
176469,176469,"October 03, 2025",300.84,,,,4
176470,176470,"October 02, 2025",933.78,,,,5
176471,176471,"October 8, 2025",1.42,,,,6
176472,176472,"October 02, 2025",689.79,,,,6
176474,176474,"October 02, 2025",847.56,,,,5
176475,176475,"October 02, 2025",265.91,,,,6
176476,176476,"October 3, 2025",13,,,,6
176478,176478,"October 9, 2025",5,,,,3
176479,176479,"October 3, 2025",9,,,,6
176482,176482,"October 03, 2025",272.09,,,,4
176483,176483,"October 03, 2025",310.44,,,,2
176484,176484,"October 03, 2025",347.12,,,,9
176485,176485,"October 09, 2025",549.9,,,,6
176487,176487,"October 3, 2025",1,,,,1
176488,176488,"October 2, 2025",3972,,,,4
176489,176489,"October 3, 2025",28512,,,,1
176490,176490,"October 2, 2025",3138,,,,1
176491,176491,"October 2, 2025",28511,,,,1
176492,176492,"October 3, 2025",4,,,,1
176493,176493,"October 03, 2025",333.92,,,,6
176494,176494,"October 8, 2025",2,,,,3
176495,176495,"October 3, 2025",5,,,,2
176496,176496,"October 3, 2025",7,,,,6
176497,176497,"October 2, 2025",29022,,,,1
176498,176498,"October 2, 2025",29022,,,,1
176499,176499,"October 2, 2025",29022,,,,1
176500,176500,"October 2, 2025",29022,,,,1
176501,176501,"October 2, 2025",29022,,,,1
176502,176502,"October 2, 2025",29022,,,,1
176503,176503,"October 2, 2025",29022,,,,1
176505,176505,"October 2, 2025",6758,,,,6
176506,176506,"October 6, 2025",28289,,,,1
176507,176507,"October 6, 2025",4,,,,0
176508,176508,"October 3, 2025",1,,,,0
176510,176510,"October 03, 2025",239.88,,,,2
176514,176514,"October 03, 2025",1290,,,,1
176515,176515,"October 03, 2025",239.97,,,,2
176516,176516,"October 03, 2025",4401.56,,,,8
176518,176518,"October 03, 2025",240,,,,1
176519,176519,"October 03, 2025",2095.92,,,,4
176520,176520,"October 03, 2025",961.68,,,,6
176521,176521,"October 03, 2025",551.88,,,,1
176522,176522,"October 03, 2025",271.92,,,,1
176523,176523,"October 03, 2025",279.84,,,,2
176524,176524,"October 15, 2025",10,,,,1
176525,176525,"October 03, 2025",528.12,,,,1
176526,176526,"October 3, 2025",75.17,,,,25
176527,176527,"October 3, 2025",12.5,,,,16
176528,176528,"October 03, 2025",303,,,,1
176529,176529,"October 03, 2025",531.72,,,,3
176530,176530,"October 7, 2025",5,,,,6
176531,176531,"October 15, 2025",2,,,,3
176536,176536,"October 10, 2025",5,,,,3
176538,176538,"October 03, 2025",487.8,,,,4
176539,176539,"October 3, 2025",4,,,,3
176541,176541,"October 3, 2025",3,,,,4
176542,176542,"October 3, 2025",3,,,,0
176543,176543,"October 07, 2025",1403.64,,,,6
176544,176544,"October 07, 2025",95.88,,,,1
176545,176545,"October 3, 2025",3,,,,3
176546,176546,"October 3, 2025",3.17,,,,2
176548,176548,"October 3, 2025",4,,,,8
176551,176551,"October 03, 2025",309,,,,2
176552,176552,"October 3, 2025",4,,,,2
176553,176553,"October 3, 2025",6,,,,3
176554,176554,"October 03, 2025",1992,,,,2
176555,176555,"October 3, 2025",5,,,,2
176556,176556,"October 03, 2025",239.76,,,,1
176557,176557,"October 03, 2025",175.92,,,,1
176558,176558,"October 3, 2025",1.33,,,,8
176559,176559,"October 3, 2025",7.5,,,,16
176560,176560,"October 8, 2025",7,,,,1
176561,176561,"October 03, 2025",775.86,,,,6
176562,176562,"October 03, 2025",223.68,,,,1
176563,176563,"October 03, 2025",268.56,,,,3
176565,176565,"October 3, 2025",8,,,,4
176566,176566,"October 3, 2025",29897,,,,0
176569,176569,"October 10, 2025",2.5,,,,10
176570,176570,"October 3, 2025",2.25,,,,7
176574,176574,"October 03, 2025",851.82,,,,4
176575,176575,"October 14, 2025",0.5,,,,5
176576,176576,"October 03, 2025",317.29,,,,4
176577,176577,"October 14, 2025",0.5,,,,6
