referenceNumber,invoiceNumber,invoiceDate,total,subtotal,tax,customerName,itemCount
176578,176578,"October 03, 2025",503.52,,,,2
176579,176579,"October 14, 2025",0.33,,,,0
176580,176580,"October 13, 2025",0.75,,,,5
176581,176581,"October 9, 2025",6,,,,13
176583,176583,"October 7, 2025",0.83,,,,8
176584,176584,"October 3, 2025",6,,,,3
176585,176585,"October 03, 2025",504,,,,2
176587,176587,"October 13, 2025",1.33,,,,6
176588,176588,"October 3, 2025",5,,,,4
176589,176589,"October 2, 2025",0.08,,,,2
176591,176591,"October 03, 2025",247.92,,,,2
176592,176592,"October 03, 2025",151.92,,,,2
176593,176593,"October 6, 2025",5,,,,2
176594,176594,"October 14, 2025",0.33,,,,3
176595,176595,"October 6, 2025",5.17,,,,15
176596,176596,"October 6, 2025",5,,,,1
176598,176598,"October 6, 2025",8,,,,5
176599,176599,"October 09, 2025",829.22,,,,5
176600,176600,"October 14, 2025",0.33,,,,4
176601,176601,"October 15, 2025",64.67,,,,15
176604,176604,"October 8, 2025",6,,,,4
176605,176605,"October 3, 2025",23479,,,,1
176606,176606,"October 6, 2025",2,,,,1
176607,176607,"October 3, 2025",5327.9,,,,0
176610,176610,"October 15, 2025",36.25,,,,15
176611,176611,"October 3, 2025",2891,,,,1
176612,176612,"October 3, 2025",1,,,,0
176613,176613,"October 8, 2025",3,,,,9
176614,176614,"November 3, 2025",5,,,,1
176616,176616,"October 3, 2025",21811,,,,1
176618,176618,"October 24, 2025",2,,,,1
176619,176619,"October 09, 2025",605.88,,,,4
176620,176620,"October 07, 2025",579.72,,,,5
176621,176621,"October 3, 2025",104.01,,,,1
176622,176622,"October 3, 2025",52,,,,1
176623,176623,"October 3, 2025",104.01,,,,1
176624,176624,"October 3, 2025",148.6,,,,2
176625,176625,"October 3, 2025",29007,,,,1
176626,176626,"October 7, 2025",2,,,,4
176627,176627,"October 3, 2025",199,,,,0
176628,176628,"October 6, 2025",3,,,,2
176630,176630,"October 3, 2025",12062,,,,8
176631,176631,"October 7, 2025",0.25,,,,2
176632,176632,"October 30, 2025",3396.72,,,,7
176633,176633,"October 6, 2025",5.25,,,,8
176634,176634,"October 6, 2025",3.5,,,,7
176635,176635,"October 6, 2025",2,,,,1
176636,176636,"October 09, 2025",1248,,,,3
176638,176638,"October 14, 2025",0.67,,,,5
176639,176639,"October 13, 2025",1.17,,,,5
176640,176640,"October 07, 2025",192,,,,2
176641,176641,"October 7, 2025",4,,,,10
176644,176644,"October 10, 2025",4,,,,4
176645,176645,"October 07, 2025",891.99,,,,5
176646,176646,"October 08, 2025",843.72,,,,7
176647,176647,"October 6, 2025",3,,,,7
176648,176648,"October 6, 2025",2,,,,4
176650,176650,"October 07, 2025",420.07,,,,3
176651,176651,"October 6, 2025",4,,,,7
176653,176653,"October 21, 2025",10,,,,1
176654,176654,"October 6, 2025",3.58,,,,33
176655,176655,"October 6, 2025",2,,,,5
176656,176656,"October 6, 2025",2.5,,,,6
176657,176657,"October 6, 2025",8,,,,8
176658,176658,"October 8, 2025",3,,,,1
176659,176659,"November 1, 2025",5.83,,,,2
176660,176660,"November 1, 2025",2,,,,4
176661,176661,"October 7, 2025",4,,,,4
176662,176662,"October 7, 2025",6,,,,3
176663,176663,"October 4, 2025",11740,,,,0
176664,176664,"October 4, 2025",11740,,,,0
176666,176666,"October 4, 2025",186,,,,1
176668,176668,"October 4, 2025",14083,,,,11
176669,176669,"October 10, 2025",637.29,,,,14
176672,176672,"October 4, 2025",28511,,,,1
176673,176673,"October 7, 2025",7.08,,,,14
176674,176674,"October 5, 2025",28907,,,,1
176675,176675,"October 5, 2025",104.01,,,,1
176676,176676,"October 5, 2025",29007,,,,1
176677,176677,"October 5, 2025",262,,,,2
176678,176678,"October 5, 2025",29007,,,,1
176679,176679,"October 5, 2025",158,,,,2
176681,176681,"October 5, 2025",26183,,,,13
176682,176682,"October 5, 2025",1248.07,,,,5
176683,176683,"October 08, 2025",1170.6,,,,4
176684,176684,"October 7, 2025",28512,,,,3
176685,176685,"October 7, 2025",11,,,,8
176686,176686,"October 7, 2025",19,,,,21
176687,176687,"October 7, 2025",2,,,,1
176688,176688,"October 8, 2025",25355,,,,0
176689,176689,"October 6, 2025",29022,,,,2
176690,176690,"October 6, 2025",23911,,,,1
176691,176691,"October 6, 2025",1950.01,,,,4
176692,176692,"October 7, 2025",12,,,,11
176693,176693,"October 7, 2025",3,,,,4
176694,176694,"October 7, 2025",4.5,,,,6
