id,orderid,skuid,quantity,unitprice,discount,issample,createdat,appliedpricingrules,recoverable
b05869fd-19fe-40e4-98c8-e802f18c2456,6cfd4d6c-6c00-478a-a67f-730d760f9184,6d6cbb76-eb2e-4a0e-ba95-ac24c6f5c17d,12,11.19,0,false,2025-10-23T14:48:24.124+00:00,,false
af488e09-1212-489b-9b24-6b8c7b1cd5d7,6cfd4d6c-6c00-478a-a67f-730d760f9184,67b30f13-c95f-43a2-9349-1f5652571874,12,9.99,0,false,2025-10-23T14:48:24.487+00:00,,false
51e8eb54-8adb-4842-b22a-8c7c482db7a4,6cfd4d6c-6c00-478a-a67f-730d760f9184,b73ab385-7046-4c30-b910-5566d9c8c6c6,12,4,0,false,2025-10-23T14:48:24.77+00:00,,false
ef70fbfb-0aa1-4c8a-8f05-4fa7a11bf413,6f8a7674-7184-4c88-8f79-0e668ed9f7d0,7cd4cbaf-8b81-4713-8162-1b02e6f0f0a0,3,45,0,false,2025-10-18T14:18:10.791+00:00,,false
8075fa91-11c5-402a-8842-da76e1302251,6f8a7674-7184-4c88-8f79-0e668ed9f7d0,0747ce35-d196-4e9b-9497-9ed3300e196c,4,8.49,0,false,2025-10-18T14:18:10.791+00:00,,false
0eeccfc2-6916-466f-ab5e-ea195079bb5d,95f29483-8280-43c3-a3ea-8e453afbd21c,453535e4-6987-4233-a71a-9fde7321c010,5,13.66,0,false,2025-10-23T14:48:28.908+00:00,,false
d0d01517-b087-41c5-94b2-78463975ce42,95f29483-8280-43c3-a3ea-8e453afbd21c,437fe033-8c3a-4794-89ed-ee2b1ed950dc,6,15.99,0,false,2025-10-23T14:48:29.207+00:00,,false
1e94d928-3114-4d6a-921e-96d90214f030,95f29483-8280-43c3-a3ea-8e453afbd21c,d6769fba-c368-4215-80fc-072eff176f8b,3,26.67,0,false,2025-10-23T14:48:29.495+00:00,,false
8c98829b-3343-4db1-9de5-b0d1137baa12,95f29483-8280-43c3-a3ea-8e453afbd21c,f48713da-3e7d-4904-812f-f58c707e94f3,4,13.99,0,false,2025-10-23T14:48:29.799+00:00,,false
8d53c01c-aa9d-45f3-bfa1-0189fd5968b3,95f29483-8280-43c3-a3ea-8e453afbd21c,25a7a765-9b6a-45f1-9ffe-8085e3c652d1,5,12,0,false,2025-10-23T14:48:30.225+00:00,,false
f571eb7c-0dc5-48e9-a914-1646ab96936c,78170444-401c-4d4b-884c-0a431585a50c,fc866804-1aa2-4295-997e-5bc87616c3ce,6,79.99,0,false,2025-10-23T14:48:30.766+00:00,,false
b27c1832-10be-4fca-9081-6fd19514a580,78170444-401c-4d4b-884c-0a431585a50c,8b1cc800-3aff-43bd-9156-f2cad9a03596,3,225,0,false,2025-10-23T14:48:31.074+00:00,,false
71b8e98f-c789-4b28-a710-eecb6a9ca516,78170444-401c-4d4b-884c-0a431585a50c,ace7bf5d-a22a-4358-b4a0-846ecf197ddb,4,110,0,false,2025-10-23T14:48:31.346+00:00,,false
28954985-acc5-4859-b456-94b2c31530eb,dd618ca9-800c-4be7-87c9-4d72ca58659f,0cc5f131-34b6-4932-bdec-b47e02625873,24,5.99,0,false,2025-10-23T14:48:38.112+00:00,,false
6632a08e-6af1-4f83-9f53-9f80bb73ed08,dd618ca9-800c-4be7-87c9-4d72ca58659f,05e3ecd5-2da3-420a-ba02-9dc373a9069b,6,10.67,0,false,2025-10-23T14:48:38.394+00:00,,false
fa1ddf8e-221c-45ff-b736-33431a3c1af9,d17a03b8-219e-4c46-9b1f-edcb330623bc,7bafbb53-deb4-459c-bf7a-f004489a4216,2,155,0,false,2025-10-23T14:48:39.901+00:00,,false
82432fdb-5b7f-4894-8cee-68767a381df0,cfb2ce56-ea62-434f-b523-a562892c7d98,b434257b-bcc7-4f61-9627-9132af3449ca,12,9.99,0,false,2025-10-23T14:48:40.566+00:00,,false
bb22d33a-be11-43be-a831-06377a5e97f7,cfb2ce56-ea62-434f-b523-a562892c7d98,52e8a55b-8040-4ab0-87c0-679dc7adfc42,3,39.99,0,false,2025-10-23T14:48:40.844+00:00,,false
d5bd942f-3dd4-4ead-ac6d-ecbb39cf18e5,cfb2ce56-ea62-434f-b523-a562892c7d98,6d6cbb76-eb2e-4a0e-ba95-ac24c6f5c17d,4,11.19,0,false,2025-10-23T14:48:41.168+00:00,,false
3f7529b6-9819-4748-909f-defc26b257e5,cfb2ce56-ea62-434f-b523-a562892c7d98,1bb839f4-6d50-4e1f-9f70-48c7d3db60bc,1,36.67,0,false,2025-10-23T14:48:41.463+00:00,,false
64922e6e-32be-4bd5-bdab-3e70d68fd318,cfb2ce56-ea62-434f-b523-a562892c7d98,a96742a8-bd78-4cab-9ae2-803cb8893cd1,1,15.33,0,false,2025-10-23T14:48:41.75+00:00,,false
d06aff46-0c3f-4406-ae1b-b068ec006f37,cfb2ce56-ea62-434f-b523-a562892c7d98,cac48a04-3d80-46aa-a1b2-333b8c6f54e1,1,23.33,0,false,2025-10-23T14:48:42.063+00:00,,false
537215d5-99d3-49ab-aeb1-55f29cd70a0e,c0481061-a39d-4ea8-a83a-19f84f06fd20,4fb5321e-7dd3-445d-89ee-8c0fbb29ddfa,12,107.5,0,false,2025-10-23T14:48:42.562+00:00,,false
31fca441-f0af-4e55-b8bb-513b4f8502a0,7572760b-929e-4e80-a616-cbd9b687c434,11750cba-c7e4-4536-8b59-349e68dc8be6,12,9.49,0,false,2025-10-23T14:48:50.216+00:00,,false
38701358-3483-4cd9-b0b8-32165a758912,7572760b-929e-4e80-a616-cbd9b687c434,f5a4c7a9-854f-452c-ad5d-ddf23eb1d9f8,12,16.67,0,false,2025-10-23T14:48:50.566+00:00,,false
006e6359-f7bf-42e4-8d6c-8cd190cfabf5,ea181606-0066-456d-9544-6ac123259694,53217b27-6f30-4554-bf5e-4bdeff5f7232,12,6.67,0,false,2025-10-23T14:48:52.376+00:00,,false
010d0fa9-ae3a-4bd6-8e56-ff149bf783fd,a283dd01-218a-488d-b78c-a2bc09012d1d,eea58661-594c-41e7-be1a-44b7b9412a24,12,11.19,0,false,2025-10-23T14:48:55.318+00:00,,false
b507556e-563b-4916-8535-efe9b9a5bd51,7ee2be91-2582-4695-9808-b0445d89a2df,25a7a765-9b6a-45f1-9ffe-8085e3c652d1,4,12,0,false,2025-10-23T14:48:57.19+00:00,,false
26ea8dd4-b2e3-4fa6-91ed-748a3679e2a9,c3680461-48eb-4d18-8d68-4b88a14a1a1a,db19cb5d-efcf-46d1-88bd-470cde2b3881,2,15.33,0,false,2025-10-23T14:48:58.556+00:00,,false
b795e7d0-8dcd-4068-8085-7368701bbca4,5cf4b1ab-9f33-4412-b2d4-b87c784e9ec7,42a332e3-9452-4fe0-bbb0-7a1e8447b96f,36,8.49,0,false,2025-10-23T14:48:59.367+00:00,,false
