orderline_id,wellcrafted_order_id,customer_name,order_total,order_date,sku_code,product_name,quantity,unit_price,is_sample,line_total
31a94566-a067-4d33-82a4-b67272ce61ed,6f04ccd7-66bb-4503-b538-bee40a9d124b,Virginia Museum of Fine Arts,2409.19,2025-11-27,SAF1008,Bloem Syrah Mourvèdre 2021,271,8.89,f,2409.19
023ba559-7577-4c00-b8e1-f744983bf757,2ae0ce8a-dfd3-4fd3-9cfe-80af6c034545,The Grapevine At King's Corner LLC,2403.00,2025-11-12,27408,Baillot Gevrey-Chambertin 2023                  Partial cs!,12,74.25,f,891.00
3fc34195-1f3b-4e08-92d5-d697707cd0a6,e542a6e5-5cd9-4a8d-ad1f-49a167237a01,The Grapevine At King's Corner LLC,1872.00,2025-11-12,27404,Baillot Bourgogne Rouge 'La Montagne' 2023,72,26.00,f,1872.00
8209005c-b43f-4e19-83eb-dd89ba1ebe14,2ae0ce8a-dfd3-4fd3-9cfe-80af6c034545,The Grapevine At King's Corner LLC,2403.00,2025-11-12,27406,Baillot Hautes Cotes de Beaune Blanc 2023,36,26.00,f,936.00
d79e292a-3c0e-4ec8-93c1-9e124d6f10fa,2ae0ce8a-dfd3-4fd3-9cfe-80af6c034545,The Grapevine At King's Corner LLC,2403.00,2025-11-12,21598,Rosanna Sandri Langhe Nebbiolo Botero 2022,24,24.00,f,576.00
0785381b-7b35-4ea6-8d84-a026267888c2,36373452-af61-43da-aeb2-c3a673b3c55c,Racines NYC LLC,735.00,2025-11-07,25903,Artelium Makers Rosé 2015                         Partial cs!,3,65.00,f,195.00
0b5e8377-b93a-4e6c-b727-ff4ccdffee0b,b6c1f489-5c7c-41a7-89aa-de9a270dac85,Screwtop Wine Bar,1255.68,2025-11-07,ORO1004,Les Brebis Willamette Pinot Noir 2023,24,14.00,f,336.00
0b94e582-366b-4987-a90d-13e1f7d16234,b6c1f489-5c7c-41a7-89aa-de9a270dac85,Screwtop Wine Bar,1255.68,2025-11-07,SAF1110,Swerwer Chenin Blanc 2023,24,12.99,f,311.76
4e26cbd2-f4aa-4788-8941-692a106d72a1,b6c1f489-5c7c-41a7-89aa-de9a270dac85,Screwtop Wine Bar,1255.68,2025-11-07,SPA1284,Oliver Viticultors Nature Rose,24,13.33,f,319.92
5ad1ebbb-7434-4167-ad70-d5cc1cd697cf,b6c1f489-5c7c-41a7-89aa-de9a270dac85,Screwtop Wine Bar,1255.68,2025-11-07,FRA1014,Vins Mosbach Gewurztraminer 2023,24,12.00,f,288.00
84d4074a-ca1d-4795-9487-d93e8bcba783,36373452-af61-43da-aeb2-c3a673b3c55c,Racines NYC LLC,735.00,2025-11-07,30461,Many Moons 2020                                      6pk!,12,45.00,f,540.00
afe37240-bb57-4a82-a1d0-a91f73a3c7f4,36373452-af61-43da-aeb2-c3a673b3c55c,Racines NYC LLC,735.00,2025-11-07,27328,Domaine Hugo Hugo Cuvee 2021           6pk!,3,0.00,f,0.00
3698e80e-7ddd-46e0-af78-55d56a9b8b18,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,24864,A&S Pinot Noir 2022,12,31.75,f,381.00
47ec5242-7881-4964-a587-abf832201c55,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,27406,Baillot Hautes Cotes de Beaune Blanc 2023,12,27.25,f,327.00
4ece6238-32c7-4707-9173-ea6cca321096,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,24860,A&S Aligote 2022,12,30.00,f,360.00
70418627-9a38-493d-9226-20d50a017f5f,12f151d5-f4c5-4aa5-8464-18f7b7b4098c,Vino Bistro,609.60,2025-11-05,FRA1193,Maison Ogier Cotes du Rhone Rouge 2023,12,11.49,f,137.88
8506ed8c-aeb6-4d8d-bf0b-6d4fcbd46381,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,24156,Stefano Occhetti Barbera 2023                6pk!,18,21.25,f,382.50
9916bf3f-549d-400f-bff2-e63822869316,12f151d5-f4c5-4aa5-8464-18f7b7b4098c,Vino Bistro,609.60,2025-11-05,FRA1128,Domaine de la Fontainnerie Vouvray Sec 2022,12,14.66,f,175.92
a025756f-4e50-40c1-bbef-92d57426e2c6,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,24861,A&S Bourgogne Chardonnay 2022                   Partial cs!,12,33.50,f,402.00
baa7ac33-e0ff-4d35-b758-328d126bb02b,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,27404,Baillot Bourgogne Rouge 'La Montagne' 2023,12,25.25,f,303.00
bb81084e-857a-4098-838a-994ff8f4ee34,0cfc323b-4059-4b20-b540-0cdc1bd77b74,The Wine Store,2383.50,2025-11-05,27224,Stefano Occhetti Roero Riserva 2021          6pk!,6,41.00,f,246.00
e82d1a1a-39ba-4c70-a553-73b627963565,12f151d5-f4c5-4aa5-8464-18f7b7b4098c,Vino Bistro,609.60,2025-11-05,SPA1283,Oliver Viticultors Cava Brut Nature,12,11.99,f,143.88
f98aaf21-2164-41f5-b601-1cb789fee25b,12f151d5-f4c5-4aa5-8464-18f7b7b4098c,Vino Bistro,609.60,2025-11-05,ITA1151,Poggio Scudieri Chianti Classico Riserva 2019,12,12.66,f,151.92
1d3b8e78-ac49-49ba-9522-b49d63fc4edf,70a7e88a-210a-4486-a812-bed64081d470,SHMONÉ,2414.75,2025-11-03,28628,Boigelot Meursault 'Les Pelles' 2023                  6pk!,19,86.75,f,1648.25
1d497615-4753-41a0-99f8-301066d727ed,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29210,Léo Dirringer Grain de Sable 2023,12,19.75,f,237.00
3b037527-35ce-4d8d-95c5-eb2379750688,70a7e88a-210a-4486-a812-bed64081d470,SHMONÉ,2414.75,2025-11-03,27257,Dancer Hautes Cotes de Beaune Blanc 2023             6pk!,6,53.75,f,322.50
3b2cd5ac-5684-4d60-9c70-4dfd30295659,11513236-886c-4307-be00-02c67a323ed1,Kings County Wines,1029.00,2025-11-03,25697,Kirrenbourg Pinot Blanc 2023,21,22.00,f,462.00
4e826d91-66fc-4550-8d8b-f05ae08f8616,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29216,Egrappille Cri 2022                              Partial cs!,4,26.25,f,105.00
510842c5-4d93-49da-a850-cca91be3ac28,11513236-886c-4307-be00-02c67a323ed1,Kings County Wines,1029.00,2025-11-03,28747,Preston Mourvedre 2023,21,27.00,f,567.00
5ac0b7ca-2d0d-432a-85cb-047e08a680ff,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29215,Egrappille Zidu 2022                             Partial cs!,4,26.25,f,105.00
7249adb1-5408-4558-8958-fc6561cbb049,70a7e88a-210a-4486-a812-bed64081d470,SHMONÉ,2414.75,2025-11-03,28707,Glandien Les Roches Rouge 2023             Partial cs!,3,70.00,f,210.00
7de2fcd9-02b3-4e42-97cf-6ef928cdb5c0,74fe44f2-054f-45a0-af0b-3d51e2c1c074,Le Garrec NYC,1250.70,2025-11-03,23977,Domaine Heitz-Lochardet Saint-Aubin 1er Cru         6pk!,30,56.12,f,1683.60
8b1df15c-ca60-410a-a00b-4d963425a067,70a7e88a-210a-4486-a812-bed64081d470,SHMONÉ,2414.75,2025-11-03,28698,La Furtiva Vi de Vila 2024             Partial cs!,1,17.25,f,17.25
a2487984-0e85-45d6-9112-c4fe86ed597b,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29174,Sylvain Martinez Bianc'O 2024,12,19.00,f,228.00
a68f638f-d0c3-49db-8760-dbedd2bcbfbd,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29214,Egrappille Guri 2022                             Partial cs!,4,26.25,f,105.00
b1986838-4878-4aa3-bc69-0a33d9b96f54,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29209,Léo Dirringer Virose 2024,12,19.75,f,237.00
b3e5094b-30ca-4ac8-a7e4-5d45cf9e61e8,bf9de53b-4e19-425c-898a-d2480554181d,Rhodora Wine Bar,1656.00,2025-11-03,29082,Domaine Nakajima Chenin & Sauvignon Blanc        Partial cs!,2,63.25,f,126.50
